customer_tweet_id,customer_message,intent,predicted_intent,intent_confidence,escalation,predicted_escalation,best_similarity,draft_reply,retrieved_customer_message,retrieved_brand_reply,retrieved_similarity,reply_word_count,generic_reply,customer_reply_word_overlap,relevance,groundedness,helpfulness,tone,overall,human_notes
1698067.0,Idk if it’s @115858 or @115714 but my BRAND NEW iPhone 8 has been slow all damn day?,Device / Technical Issue,Order / Upgrade / iPhone,0.8428402950618896,Human,Auto,0.4149819525826848,@428688 Awesome Andrew! Happy to hear you got your order completed! We are super excited about the iPhone X!,@428689 @115858 @115714 @6990 @18540 😭😭😭😭,@428688 Awesome Andrew! Happy to hear you got your order completed! We are super excited about the iPhone X!,0.41498195258268483,19,False,0.2,,,,,,
883549.0,@sprintcare Look into my account.   It's a damn joke.  You see my gripe.  Tired of being blown off,General Complaint / Other,General Complaint / Other,0.3374536872595194,Human,Human,0.4172941722835658,@637822 Let's work together on addressing your concerns today. Please send us a Direct Message that we can further assist. -KC,@sprintcare LOOK INTO WHAT...THIS COMPANY IS SHITTY,@637822 Let's work together on addressing your concerns today. Please send us a Direct Message that we can further assist. -KC,0.41729417228356586,21,False,0.0,,,,,,
2420430.0,Why can’t I get 3g or LTE this morning @115714 get it together please,Order / Upgrade / iPhone,Network / Connectivity,0.8358008019490341,Human,Auto,0.417952755422208,@628645 Can you inform us on the make and model of your device? - NJ,"@sprintcare 2 days. On wifi, 3g and lte.",@628645 Can you inform us on the make and model of your device? - NJ,0.41795275542220806,15,False,0.0,,,,,,
1014247.0,Lol that’s EXACTLY what happens to mines. The jig is up @115714 https://t.co/rDK9zxgRFw,General Complaint / Other,General Complaint / Other,0.5013934784410421,Human,Auto,0.418490347138515,@217320 Oh no! This is not something we want to hear and we'd like to fix this for you. Please send us a DM so we can help! -CD,@115714 here we go again.. 🙄🙄🙄 https://t.co/HNQkdIyzBI,"@155348 Please send us a Direct Message, so that we can further assist you. -LC https://t.co/rMApsV8PQY",0.418490347138515,29,True,0.0,,,,,,
1944036.0,@577947 @115911 i wanna go bak to @115911 cuz @115714 is doing me no good at all man smh,Order / Upgrade / iPhone,General Complaint / Other,0.5087653410609542,Human,Auto,0.4194712054378092,@430043 Hey there! Are you still having issues preordering the device? -SA,@427411 @115714 mine doing the same,@430043 Hey there! Are you still having issues preordering the device? -SA,0.41947120543780925,12,False,0.0,,,,,,
1827792.0,@sprintcare No.,General Complaint / Other,General Complaint / Other,0.7848111100888455,Auto,Auto,1.0,"@409759 This sounds concerning. Send us a Direct Message, so that we can further assist you. What exactly are you experiencing? -SD",@sprintcare and when will that be?,"@148973 Shortly, if you like.",1.0,22,False,0.0,,,,,,
1646457.0,Bye @115714 👋🏽,Network / Connectivity,General Complaint / Other,0.5991604647171035,Human,Auto,1.0,"@591967 Hi there, we would hate to see you leave as a customer I assure there something we can do to resolve your issue. Please shoot us a DM -SH",Bye @115714!!,"@591967 Hi there, we would hate to see you leave as a customer I assure there something we can do to resolve your issue. Please shoot us a DM -SH",1.0,30,False,0.0,,,,,,
456194.0,@115714 service is horrible,Device / Technical Issue,Network / Connectivity,0.9759074596803196,Human,Auto,1.0,@487064 Let's take a look into this for you and work towards a resolution. Shoot us a DM about your issue. -AC,Once Again @115714 service is horrible,"@311089 Hello, this is not the kind of feedback we like to hear. How can I help you today?",1.0,22,False,0.0,,,,,,
903109.0,@sprintcare Sure.,Billing / Payment,General Complaint / Other,0.6876561983842306,Human,Auto,1.0,"@421841 Send us a DM, the secure link will not send over a public site.",@sprintcare Sure,@156504 Please send us a DM so we can send the secure link.,1.0,15,True,0.0,,,,,,
1968035.0,@sprintcare Done!,Cancellation / Switching / Retention,General Complaint / Other,0.7848111100888455,Human,Auto,1.0,"@409759 This sounds concerning. Send us a Direct Message, so that we can further assist you. What exactly are you experiencing? -SD",@sprintcare and when will that be?,"@148973 Shortly, if you like.",1.0,22,False,0.0,,,,,,
1268159.0,@sprintcare Yes and yes,Network / Connectivity,General Complaint / Other,0.5246717588388711,Human,Auto,1.0,@330401 Please use the link provided so that you can review your eligibility https://t.co/DXeSKlIlYx. -DR,"@sprintcare Why, yes, yes I do.",@330401 Please use the link provided so that you can review your eligibility https://t.co/DXeSKlIlYx. -DR,1.0,15,False,0.0,,,,,,
256957.0,@115714 y'all customer service sucks !!!!!,General Complaint / Other,Network / Connectivity,0.9918263155945508,Human,Auto,1.0000000000000002,"@465698 Good day, this comment is very concerning. Please send us a Direct Message and let us know why you feel this way. -KK",@115714 your customer service sucks.,@436503 We hate to see that you feel that way! What's going on? I'd like to assist you. -CD,1.0000000000000002,24,False,0.0,,,,,,
334279.0,@115714 https://t.co/1dt2Kfn152,General Complaint / Other,General Complaint / Other,0.9503466375375352,Human,Auto,1.0000000000000002,"@709350 Hey, what's going? I'm here to assist! - AW",@115714 here we go again.. 🙄🙄🙄 https://t.co/HNQkdIyzBI,"@155348 Please send us a Direct Message, so that we can further assist you. -LC https://t.co/rMApsV8PQY",1.0000000000000002,10,False,0.0,,,,,,
241452.0,@115714's customer service sucks,Customer Service Issue,Network / Connectivity,0.9918263155945508,Human,Auto,1.0000000000000002,"@465698 Good day, this comment is very concerning. Please send us a Direct Message and let us know why you feel this way. -KK",@115714 your customer service sucks.,@436503 We hate to see that you feel that way! What's going on? I'd like to assist you. -CD,1.0000000000000002,24,False,0.0,,,,,,
42854.0,@115714 https://t.co/3oGHgwxJ6D,General Complaint / Other,General Complaint / Other,0.9503466375375352,Human,Auto,1.0000000000000002,"@709350 Hey, what's going? I'm here to assist! - AW",@115714 here we go again.. 🙄🙄🙄 https://t.co/HNQkdIyzBI,"@155348 Please send us a Direct Message, so that we can further assist you. -LC https://t.co/rMApsV8PQY",1.0000000000000002,10,False,0.0,,,,,,
